# initial holdings -- begin
account,email,owner,marketplace,session,cash,Security 127,Security 203, Security 331, Security 409
choice-moving,Surfer1@bmm,4839,324,6172,800,4,0,4,0
choice-moving,Surfer2@bmm,4840,324,6172,800,0,4,0,4
choice-moving,Surfer3@bmm,4841,324,6172,800,4,0,4,0
choice-moving,Surfer4@bmm,4842,324,6172,800,0,4,0,4
choice-moving,Surfer5@bmm,4843,324,6172,800,4,0,4,0
choice-moving,Surfer6@bmm,4844,324,6172,800,0,4,0,4
choice-moving,Surfer7@bmm,4845,324,6172,800,4,0,4,0
choice-moving,Surfer8@bmm,4846,324,6172,800,0,4,0,4
choice-moving,Surfer9@bmm,4847,324,6172,800,4,0,4,0
choice-moving,Surfer10@bmm,4848,324,6172,800,0,4,0,4
choice-moving,Surfer11@bmm,4849,324,6172,800,4,0,4,0
choice-moving,Surfer12@bmm,4850,324,6172,800,0,4,0,4
choice-moving,Surfer13@bmm,4851,324,6172,800,4,0,4,0
choice-moving,Surfer14@bmm,4852,324,6172,800,0,4,0,4
choice-moving,Surfer15@bmm,4853,324,6172,800,4,0,4,0
choice-moving,Surfer16@bmm,4854,324,6172,800,0,4,0,4
choice-moving,Surfer17@bmm,4855,324,6172,800,4,0,4,0
choice-moving,Surfer18@bmm,4856,324,6172,800,0,4,0,4
choice-moving,Surfer19@bmm,4857,324,6172,800,4,0,4,0
choice-moving,Surfer20@bmm,4858,324,6172,800,0,4,0,4
choice-moving,Surfer21@bmm,4859,324,6172,800,4,0,4,0
choice-moving,Surfer22@bmm,4860,324,6172,800,0,4,0,4
choice-moving,Surfer23@bmm,4954,324,6172,800,4,0,4,0
choice-moving,Surfer24@bmm,4955,324,6172,800,0,4,0,4
choice-moving,Surfer25@bmm,4956,324,6172,800,4,0,4,0
# initial holdings -- end



# orders -- begin
account,email,owner,marketplace,session,period,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate
choice-moving,Surfer14@bmm,4852,324,6172,6172,646,NULL,1011328,1011328,1011328,1011405,LIMIT,BUY,1,18,2018-08-14T04:53:22.929,2018-08-14T04:54:41.640
choice-moving,Surfer12@bmm,4850,324,6172,6172,646,NULL,1011329,1011329,1011329,1011335,LIMIT,BUY,1,100,2018-08-14T04:53:24.539,2018-08-14T04:53:26.948
choice-moving,Surfer12@bmm,4850,324,6172,6172,646,NULL,1011330,1011330,1011330,1011336,LIMIT,BUY,1,100,2018-08-14T04:53:24.625,2018-08-14T04:53:26.948
choice-moving,Surfer12@bmm,4850,324,6172,6172,646,NULL,1011331,1011331,1011331,1011337,LIMIT,BUY,1,100,2018-08-14T04:53:24.698,2018-08-14T04:53:26.948
choice-moving,Surfer12@bmm,4850,324,6172,6172,646,NULL,1011332,1011332,1011332,1011338,LIMIT,BUY,1,100,2018-08-14T04:53:24.738,2018-08-14T04:53:26.949
choice-moving,Surfer12@bmm,4850,324,6172,6172,646,NULL,1011333,1011333,1011333,1011361,LIMIT,BUY,1,100,2018-08-14T04:53:26.459,2018-08-14T04:53:56.354
choice-moving,Surfer15@bmm,4853,324,6172,6172,646,NULL,1011334,1011334,1011334,0,LIMIT,SELL,4,100,2018-08-14T04:53:26.936,2018-08-14T04:53:26.948
choice-moving,Surfer15@bmm,4853,324,6172,6172,646,NULL,1011335,1011334,1011334,1011329,LIMIT,SELL,1,100,2018-08-14T04:53:26.940,2018-08-14T04:53:26.948
choice-moving,Surfer15@bmm,4853,324,6172,6172,646,NULL,1011336,1011334,1011334,1011330,LIMIT,SELL,1,100,2018-08-14T04:53:26.942,2018-08-14T04:53:26.948
choice-moving,Surfer15@bmm,4853,324,6172,6172,646,NULL,1011337,1011334,1011334,1011331,LIMIT,SELL,1,100,2018-08-14T04:53:26.944,2018-08-14T04:53:26.949
choice-moving,Surfer15@bmm,4853,324,6172,6172,646,NULL,1011338,1011334,1011334,1011332,LIMIT,SELL,1,100,2018-08-14T04:53:26.946,2018-08-14T04:53:26.949
choice-moving,Surfer17@bmm,4855,324,6172,6172,646,NULL,1011339,1011339,1011339,NULL,LIMIT,BUY,1,98,2018-08-14T04:53:26.971,2018-08-14T04:53:26.972
choice-moving,Surfer12@bmm,4850,324,6172,6172,646,NULL,1011340,1011340,1011340,1011362,LIMIT,BUY,1,100,2018-08-14T04:53:27.240,2018-08-14T04:53:56.354
